original_city,fixed_city
SAO JORGE DO OESTE,SAO JORGE D OESTE
SAO LUIS DO PARAITINGA,SAO LUIZ DO PARAITINGA
SAO MIGUEL DE TOUROS,SAO MIGUEL DO GOSTOSO
SAOPAULO,SAO PAULO
SP,SAO PAULO
SAO ROQUE DO CANNAA,SAO ROQUE DO CANAA
SENADOR LA ROQUE,SENADOR LA ROCQUE
TALIANDIA,TAILANDIA
TAMOIOS CABO FRIO,TAMOIOS
TOMEACU,TOME ACU
TRAJANO DE MORAIS,TRAJANO DE MORAES
VAUACU,VAU ACU
VENDA NOVA DO IMIGRANTE ES,VENDA NOVA DO IMIGRANTE
VENDA NOVA DO IMIGRANTE-ES,VENDA NOVA DO IMIGRANTE
VENDA NOVA DO IMIGRANTEES,VENDA NOVA DO IMIGRANTE
VILA BELA DA SANTSSIMA TRINDADE,VILA BELA DA SANTISSIMA TRINDADE
VITORINOS  ALTO RIO DOCE,VITORINOS
XANGRILA,XANGRI LA
SANTA BARBARA DOESTE,SANTA BARBARA D OESTE
ESTRELA DOESTE,ESTRELA D OESTE
PALMEIRA DOESTE,PALMEIRA D OESTE
APARECIDA DOESTE,APARECIDA D OESTE
SANTA RITA DOESTE,SANTA RITA D OESTE
SANTA CLARA DOESTE,SANTA CLARA D OESTE
MACHADINHO DOESTE,MACHADINHO D OESTE
ALVORADA DOESTE,ALVORADA D OESTE
ALTA FLORESTA DOESTE,ALTA FLORESTA D OESTE
NOVA BRASILANDIA DOESTE,NOVA BRASILANDIA D OESTE
LAMBARI DOESTE,LAMBARI D OESTE
MIRASSOL DOESTE,MIRASSOL D OESTE
FIGUEIROPOLIS DOESTE,FIGUEIROPOLIS D OESTE
SAO JORGE DOESTE,SAO JORGE D OESTE
ITAPEJARA DOESTE,ITAPEJARA D OESTE
DIAMANTE DOESTE,DIAMANTE D OESTE
RANCHO ALEGRE DOESTE,RANCHO ALEGRE D OESTE
HERVAL DOESTE,HERVAL D OESTE
LAGES SC,LAGES
